Country,Cases,year,month,day,quarter,date,year_month
Brunei,,2020,1,22,1,2020-01-22 00:00:00+00:00,2020-01
Brunei,0.0,2020,1,23,1,2020-01-23 00:00:00+00:00,2020-01
Brunei,0.0,2020,1,24,1,2020-01-24 00:00:00+00:00,2020-01
Brunei,0.0,2020,1,25,1,2020-01-25 00:00:00+00:00,2020-01
Brunei,0.0,2020,1,26,1,2020-01-26 00:00:00+00:00,2020-01
Brunei,0.0,2020,1,27,1,2020-01-27 00:00:00+00:00,2020-01
Brunei,0.0,2020,1,28,1,2020-01-28 00:00:00+00:00,2020-01
Brunei,0.0,2020,1,29,1,2020-01-29 00:00:00+00:00,2020-01
Brunei,0.0,2020,1,30,1,2020-01-30 00:00:00+00:00,2020-01
Brunei,0.0,2020,1,31,1,2020-01-31 00:00:00+00:00,2020-01
Brunei,0.0,2020,2,1,1,2020-02-01 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,2,1,2020-02-02 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,3,1,2020-02-03 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,4,1,2020-02-04 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,5,1,2020-02-05 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,6,1,2020-02-06 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,7,1,2020-02-07 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,8,1,2020-02-08 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,9,1,2020-02-09 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,10,1,2020-02-10 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,11,1,2020-02-11 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,12,1,2020-02-12 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,13,1,2020-02-13 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,14,1,2020-02-14 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,15,1,2020-02-15 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,16,1,2020-02-16 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,17,1,2020-02-17 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,18,1,2020-02-18 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,19,1,2020-02-19 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,20,1,2020-02-20 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,21,1,2020-02-21 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,22,1,2020-02-22 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,23,1,2020-02-23 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,24,1,2020-02-24 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,25,1,2020-02-25 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,26,1,2020-02-26 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,27,1,2020-02-27 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,28,1,2020-02-28 00:00:00+00:00,2020-02
Brunei,0.0,2020,2,29,1,2020-02-29 00:00:00+00:00,2020-02
Brunei,0.0,2020,3,1,1,2020-03-01 00:00:00+00:00,2020-03
Brunei,0.0,2020,3,2,1,2020-03-02 00:00:00+00:00,2020-03
Brunei,0.0,2020,3,3,1,2020-03-03 00:00:00+00:00,2020-03
Brunei,0.0,2020,3,4,1,2020-03-04 00:00:00+00:00,2020-03
Brunei,0.0,2020,3,5,1,2020-03-05 00:00:00+00:00,2020-03
Brunei,0.0,2020,3,6,1,2020-03-06 00:00:00+00:00,2020-03
Brunei,0.0,2020,3,7,1,2020-03-07 00:00:00+00:00,2020-03
Brunei,0.0,2020,3,8,1,2020-03-08 00:00:00+00:00,2020-03
Brunei,1.0,2020,3,9,1,2020-03-09 00:00:00+00:00,2020-03
Brunei,0.0,2020,3,10,1,2020-03-10 00:00:00+00:00,2020-03
Brunei,10.0,2020,3,11,1,2020-03-11 00:00:00+00:00,2020-03
Brunei,0.0,2020,3,12,1,2020-03-12 00:00:00+00:00,2020-03
Brunei,26.0,2020,3,13,1,2020-03-13 00:00:00+00:00,2020-03
Brunei,3.0,2020,3,14,1,2020-03-14 00:00:00+00:00,2020-03
Brunei,10.0,2020,3,15,1,2020-03-15 00:00:00+00:00,2020-03
Brunei,4.0,2020,3,16,1,2020-03-16 00:00:00+00:00,2020-03
Brunei,2.0,2020,3,17,1,2020-03-17 00:00:00+00:00,2020-03
Brunei,12.0,2020,3,18,1,2020-03-18 00:00:00+00:00,2020-03
Brunei,7.0,2020,3,19,1,2020-03-19 00:00:00+00:00,2020-03
Brunei,3.0,2020,3,20,1,2020-03-20 00:00:00+00:00,2020-03
Brunei,5.0,2020,3,21,1,2020-03-21 00:00:00+00:00,2020-03
Brunei,5.0,2020,3,22,1,2020-03-22 00:00:00+00:00,2020-03
Brunei,3.0,2020,3,23,1,2020-03-23 00:00:00+00:00,2020-03
Brunei,13.0,2020,3,24,1,2020-03-24 00:00:00+00:00,2020-03
Brunei,5.0,2020,3,25,1,2020-03-25 00:00:00+00:00,2020-03
Brunei,5.0,2020,3,26,1,2020-03-26 00:00:00+00:00,2020-03
Brunei,1.0,2020,3,27,1,2020-03-27 00:00:00+00:00,2020-03
Brunei,5.0,2020,3,28,1,2020-03-28 00:00:00+00:00,2020-03
Brunei,6.0,2020,3,29,1,2020-03-29 00:00:00+00:00,2020-03
Brunei,1.0,2020,3,30,1,2020-03-30 00:00:00+00:00,2020-03
Brunei,2.0,2020,3,31,1,2020-03-31 00:00:00+00:00,2020-03
